Index,Command,ReturnCode,Errno,Extra
   0,       MKDIR,       0,Success(0),
   1,      CREATE,       4,Success(0),
   2,        OPEN,       4,Success(0),
   3,       MKDIR,       0,Success(0),
   4,       RMDIR,      -1,Directory not empty(39),
   5,      CREATE,       5,Success(0),
   6,        OPEN,       5,Success(0),
   7,      CREATE,       6,Success(0),
   8,       WRITE,      16,Success(0),
   9,       MKDIR,       0,Success(0),
  10,       MKDIR,       0,Success(0),
  11,       WRITE,     255,Success(0),
  12,       MKDIR,       0,Success(0),
  13,       WRITE,     128,Success(0),
  14,       WRITE,     127,Success(0),
  15,        READ,       0,Success(0),hash=1
  16,        OPEN,       6,Success(0),
  17,       MKDIR,       0,Success(0),
  18,       MKDIR,       0,Success(0),
  19,       WRITE,  100000,Success(0),
  20,       MKDIR,       0,Success(0),
  21,      RENAME,       0,Success(0),
  22,        READ,       0,Success(0),hash=1
  23,       RMDIR,       0,Success(0),
  24,       WRITE,     255,Success(0),
  25,      RENAME,       0,Success(0),
